8.7G	#Single (2025)
13G	0 (Zero) (2018)
5.5G	1 Nenokkadine (2014)
4.9G	100% Love (2011)
4.5G	12 Strong (2018)
5.1G	12th Fail (2023)
3.9G	18 Pages (2022)
7.1G	2 States (2014)
4.8G	2.0 (2018)
11G	2012 (2009)
12G	24 (2016)
21G	3 (2012)
13G	3 Idiots (2009)
8.1G	500 Days of Summer (2009)
6.1G	8 Vasantalu (2025)
2.3G	A Aa (2016)
6.9G	A Brilliant Young Mind (2014)
7.6G	A Minecraft Movie (2025)
1.8G	A Prince for Christmas (2015)
4.7G	A Quiet Place (2018)
7.5G	A Quiet Place꞉ Part II (2020)
8.0G	A Working Man (2025)
2.5G	Aadavallu Meeku Joharlu (2022)
6.0G	Aadavari Matalaku Arthale Verule (2007)
8.6G	Aakaasam Nee Haddhu Ra (2020)
5.1G	Aap Jaisa Koi (2025)
9.0G	Aarya 2 (2009)
7.9G	Aashiqui 2 (2013)
3.3G	Aavesham (2024)
7.6G	ABCD 2 (2015)
2.5G	ABCD꞉ American Born Confused Desi (2019)
6.5G	ABCD꞉ Any Body Can Dance (2013)
8.2G    Accepted (2006)
4.8G	Acharya (2022)
7.9G	Ad Astra (2019)
2.4G	Adbhutham (2021)
11G	Adipurush (2023)
3.7G	AGENT (2023)
6.0G	Agnyathavaasi (2018)
11G	AIR (2023)
4.2G	Akhanda (2021)
2.8G	Akkada Ammayi Ikkada Abbayi (2025)
7.3G	Ala Vaikunthapurramuloo (2020)
2.2G	Aladdin (2019)
2.7G	Amaran (2024)
6.2G	Anaamika (2014)
2.1G	Anaganaga O Dheerudu (2011)
11G	Andala Rakshasi (2012)
5.3G	Angel Has Fallen (2019)
9.8G	Animal (2023)
6.6G	Annabelle (2014)
6.5G	Antariksham 9000KMPH (2018)
2.4G	Ant-Man (2015)
3.2G	Ant-Man and the Wasp (2018)
6.3G	Ant-Man and the Wasp꞉ Quantumania (2023)
5.8G	Aquaman (2018)
2.7G	Aquaman and the Lost Kingdom (2023)
11G	Aravinda Sametha Veera Raghava (2018)
1.3G	Arjun Suravaram (2019)
5.7G	Arrival (2016)
2.6G	Assassin's Creed (2016)
6.0G	Athadu (2005)
4.9G	Atrangi Re (2021)
5.1G	Attarintiki Daaredi (2013)
4.2G	Avatar (2009) [EXTENDED CUT]
4.0G	Avatar 2꞉ The Way of Water (2022)
6.3G	Avengers (2012)
3.1G	Avengers꞉ Age of Ultron (2015)
7.4G	Avengers꞉ Endgame (2019)
8.8G	Avengers꞉ Infinity War (2018)
4.7G	Awaara (2010)
3.2G	Awe! (2018)
7.1G	Baaghi (2016)
6.8G	Baahubali 1꞉ The Beginning (2015)
13G	Baahubali 2꞉ The Conclusion (2017)
4.8G	Baby (2023)
6.1G	Baby John (2024)
4.4G	Badrinath (2011)
6.9G	Bagheera (2024)
5.8G	Ballerina꞉ From the World of John Wick (2025)
4.4G	Bangarraju (2022)
6.0G	Barbie (2023)
3.0G	Basanti (2014)
7.7G	Batman Begins (2005)
14G	Batman v Superman꞉ Dawn of Justice (2016)
4.4G	Beast (2022)
5.4G	Ben 10 Classic (2005 - 2008)
2.5G	Ben 10꞉ Destroy All Aliens (2012)
3.4G	Ben 10꞉ Secret of the Omnitrix (2007)
3.6G	Bhaagamathie (2018)
10G	Bhadram (2014)
2.7G	Bhagavanth Kesari (2023)
2.5G	Bhairavam (2025)
4.9G	Bharat Ane Nenu (2018)
5.1G	Bheemla Nayak (2022)
3.0G	Bholaa Shankar (2023)
2.4G	Bimbisara (2022)
5.0G	Black Adam (2022)
4.2G	Black Panther (2018)
3.3G	Black Panther꞉ Wakanda Forever (2022)
6.3G	Black Widow (2021)
4.0G	Blue Beetle (2023)
2.4G	Bodyguard (2012)
4.8G	Boss Level (2021)
